No,PO number,Po Date,PO Name,Supplier,Total,Cur.
43,RFPO-6705-V40165-1,12 Jan 2026,PO for Drill Bits,Tsang Brothers Corporation,570.56,USD
44,RFPO-6705-A5202-1,12 Jan 2026,PO for Hardware Items for Bldg 729,Lakshmi Metal Tech LLC,1811,AED
45,RFPO-6705-V40164-1,08 Jan 2026,PO for Rebar Touch up Paints,Dateline Exports Inc.,4681.19,USD
46,RFPO-7139-V40065-1,08 Jan 2026,PO for Cut and Bend Rebars and Patch Kits ,Nucor Rebar Fabrication,21534,USD
47,RFPO-1005-V7263-2,08 Jan 2026,PO for Ductile Iron Pipes & fittings,Cimmaron International Corporation,26544.46,USD
48,RFPO-5829-R1512-1,07 Jan 2026,"PO for Hydraulic Crane, 100 Ton Rough Terrain, standard main boom  - Agreement No.: 2EC2501138",JOHNSON ARABIA LLC,70000,AED
49,RFPO-5829-R1512-2,07 Jan 2026,"PO for Hydraulic Crane, 100 Ton Rough Terrain, standard main boom  - Agreement No.: 2EC2501138",JOHNSON ARABIA LLC,72000,AED
50,RFPO-7139-V40064-2,07 Jan 2026,PO for Trench Boxes with Accessories,ALLEN TRENCH SAFETY CORPORATION,34985.55,USD
51,RFPO-5829-V40039-1,07 Jan 2026,PO for Supply of ductile iron (DI) manhole covers and frames as per approved submittal,Unitech Di Pipes & Fittings Mfg. LLC,127922.86,AED
52,RFPO-6705-V40005-3,07 Jan 2026,NEW UNIT SUBSTATION & PRIMARY SELECTIVE SWITCHES,Kelly & Hayes Electrical Industrial & Plumbing Supplies,173389.43,USD
53,RFPO-5829-V40040-1,07 Jan 2026,PO for Candor - Supply of Basket Assembly 10mm Dia Round Rod L=1m (Uncoated)- Ref: UDIP/UAE/18102024/CANDOR/7174 REV04,Unitech Di Pipes & Fittings Mfg. LLC,51732,AED
54,RFPO-7878-V40003-1,07 Jan 2026,PO for Expansion and Buffer Tanks,INTEGRATED CONTRACTING SUPPLIERS,8957,USD
55,RFPO-6705-A5301-1,06 Jan 2026,PO for Paints & coatings for Building 729,BM Middle East FZC,2212,USD
56,RFPO-7139-E6823-1,06 Jan 2026,PO for PVC nonmetallic conduits (CANTEX),TIC LIGHT ELECTRICAL CORP,7116.68,USD
57,RFPO-7212-V40019-1,06 Jan 2026,PO for Nitrogen Generator & Air Compressor,"South-Tek Systems, LLC",40826.8,USD
58,RFPO-7139-V40064-1,06 Jan 2026,PO for Trench Boxes with Accessories ,ALLEN TRENCH SAFETY CORPORATION,33102.75,USD
59,RFPO-7139-V4358-1,06 Jan 2026,PO for RT29 Radio,YSAIR HONGKONG HOLDINGS LIMITED,995.7,USD
60,RFPO-1005-V7264-1,06 Jan 2026,PO for PVC Pipes & Fittings,HOLBROOK PIPE SUPPLY INC.,11906.665,USD
61,RFPO-7139-E6822-1,05 Jan 2026,PO for PVC coated conduits,Benfield Electric International Ltd.,54944.13,USD
62,RFPO-5829-V40038-1,02 Jan 2026,"PO for Air Pavement - Epoxy-Coated Dowel Bars (410mm x 25mm)  and Welded Wire Mesh (150x150x07x07mm, 2.4m x 4.8m sheets)",Unitech Di Pipes & Fittings Mfg. LLC,57755.5,USD
63,RFPO-6705-V4362-2,24 Dec 2025,PO for Confined Space Kit,Industrial Safety Products,1756.9,USD
64,RFPO-8206-O1-1,24 Dec 2025,PO for Lenovo Business Laptop,Kyoto Technologies,47400,AED
65,RFPO-7073-V40013-1,19 Dec 2025,PO for Gaskets,"Smith International Gulf Services, LLC",18553.5,AED
66,RFPO-5532-V4378-1,19 Dec 2025,PO for Plan Swift 11 Measurements & QTY Takeoff Software -  Perpetual License - Marte Alzate,Green Figure Technique,7380,AED
67,RFPO-6852-V40037-1,19 Dec 2025,PO for Fuel System Repair Materials,Jet Fuel Specialists LLC,23112.64,USD
68,RFPO-6705-V40163-1,18 Dec 2025,"PO for STAINLESS STEEL SS316, ASTM A312, SCH40 WELDED PIPES",PENN STAINLESS PRODUCTS,2830.61,USD
69,RFPO-7139-V40063-1,18 Dec 2025,PO for JFVD78922 - Preshipment Inspection - Coaster 19 seats bus MD6601 and Two years wearing spare parts list,V-Trust Inspection Service Co. Ltd.,268,USD
70,RFPO-5532-V4377-1,17 Dec 2025,PO for Magnet Sticker Panels - 210 × 120 cm - Estimate 3302,Alelham Consultancy LLC,3660,AED
71,RFPO-7139-V40059-1,17 Dec 2025,PO for INV-JFVD72671 - Preshipment Inspection - DONGFENG 190HP Truck Mounted XCMG 6.3Ton Crane and Spare Parts,V-Trust Inspection Service Co. Ltd.,268,USD
72,RFPO-7212-V40017-1,17 Dec 2025,PO for Gas Detector system & Controls,BMS Btech Switchgear,29600,AED
73,RFPO-7139-V40036-2,17 Dec 2025,PO for Mechanic Shop Tools,Dateline Exports Inc.,32410.31,USD
74,RFPO-7139-V40062-1,17 Dec 2025,PO for Ductile Iron Pipe and Fittings ,Cimmaron International Corporation,23402.52,USD
75,RFPO-6705-V40162-1,17 Dec 2025,PO for Ductile Iron Pipe and Fittings ,Cimmaron International Corporation,7472.62,USD
76,RFPO-7864-V40004-1,17 Dec 2025,PO for Adhesive for Carpets,Right Choice Equipment Trading (LLC),440,AED
77,RFPO-7139-M4020-1,16 Dec 2025,PO for XH202310251-1 - Gulf Carts - GM-6D+2 and GM-4D with cargo,"Henan XunHu Equipment Co., Ltd",29778,USD
78,RFPO-7139-S9144-1,16 Dec 2025,PO for Filters- Maintenance parts for 37.5KVA GENERATOR SET,MORRICO EQUIPMENT LLC,502.47,USD
79,RFPO-5829-V40037-1,16 Dec 2025,PO for Oasis Metal Quotation OMM/24‑3693 -  (Triton Project Facility B – Trench Gratings) - COP7,Oasis Metal Manufacturing LLC,28200,AED
80,RFPO-5532-M4052-1,16 Dec 2025,PO for MVL-DG Equipment -VibratoryCompactors- -X025 - John,Evangel International Machinery Ltd.,25000,USD
81,RFPO-7139-V40060-1,16 Dec 2025,PO for PVC C-900 Pipe and Fittings for Fire Water ,American International Supply Inc.,15822.14,USD
82,RFPO-7139-V40061-1,16 Dec 2025,PO for SPONGE RUBBER EXPANSION JOINT FILLER WR MEADOWS,Dateline Exports Inc.,20217.63,USD
83,RFPO-5532-V4376-1,15 Dec 2025,PO for - Magnet Sticker - Specs: - Digital printed outdoor vinyl - UV lamination (glossy or matte) - Mounted on magnet sheet - Thickness: 0.8 mm - Size: 45 × 20 cm,Alelham Consultancy LLC,2475,AED
84,RFPO-1569-O112-1,15 Dec 2025,PO for Bluebeam Core – Annual Subscription – Renewal (Sub End: 1st Jan 2026) - Quotation Ref: SA729,AllCAD Solutions LLC,1850,AED
85,RFPO-7864-A5201-1,15 Dec 2025,PO for Aluminium Windows,Lakshmi Metal Tech LLC,257077.04,AED
86,RFPO-1569-O113-1,15 Dec 2025,PO for Bluebeam Core License - Mansoor.Junbesh@mvl-group.com,AllCAD Solutions LLC,925,AED
87,RFPO-6705-V40161-1,15 Dec 2025,PO for #67 Rock(Coarse Aggregate),SMITHBRIDGE GUAM,92054.4,USD
88,RFPO-7212-V40016-1,15 Dec 2025,PO for 16mm Thread rods,Fastener Point LLC,1181.84,AED
89,RFPO-5532-M4057-1,11 Dec 2025,PO for Official Quotation-7 Machines Spare Parts,Evangel International Machinery Ltd.,12800,USD
90,RFPO-1569-O111-1,11 Dec 2025,PO for Microsoft 365 G5 GCC – Annual Subscription Licenses (Pro-Rated) - Inv - 115999,Managed Solution LLC,667.9,USD
91,RFPO-6705-V4362-1,11 Dec 2025,PO for Confined Space Kit,Industrial Safety Products,1589,USD
92,RFPO-7139-V4357-1,11 Dec 2025,PO for Lubricants,Van De Pol Enterprises Inc,18167.57,USD
93,RFPO-6705-V40159-2,11 Dec 2025,PO for PVC Cement for COSA- Plumbing,"JW Supply House, Inc",749.96,USD
94,RFPO-5532-M4056-1,10 Dec 2025,PO for AG25AQ426D - VIN: CLW5070QL - Isuzu Van,"FASTWIN GROUP CO.,LIMITED",1595.54,USD
95,RFPO-6705-V40160-1,10 Dec 2025,PO for OCAL-PVC Coated Coupler,Kelly & Hayes Electrical Industrial & Plumbing Supplies,3854.01,USD
96,RFPO-6705-E6843-1,10 Dec 2025,PO for Cantex- Male Terminal Adapters,TIC LIGHT ELECTRICAL CORP,380.47,USD
97,RFPO-7139-V40058-1,10 Dec 2025,PO for APOC #30 Roofing Felt ,Dateline Exports Inc.,467,USD
98,RFPO-1569-O110-1,09 Dec 2025,PO for Gateway Ubiquiti EFG - Harware - Quote Ref: KT/1125/210,Kyoto Technologies,14700,AED
99,RFPO-5532-M4055-1,09 Dec 2025,PO for AG25AQ426C- MAXUS VAN SPARE PARTS,"FASTWIN GROUP CO.,LIMITED",1735.96,USD
100,RFPO-6705-E6842-1,09 Dec 2025,PO for Cadweld exothermic molds and accessories,Benfield Electric International Ltd.,2605.39,USD
101,RFPO-7208-V40027-1,09 Dec 2025,PO for Door Awning & accessories,Dateline Exports Inc.,13126.16,USD
102,RFPO-7139-V40055-1,08 Dec 2025,PO for Additional  SDR35 Fittings,HOLBROOK PIPE SUPPLY INC.,641.44,USD
103,RFPO-7616-V40000-2,08 Dec 2025,PO for Scaffolding,"Rapid Scaffolding (Engineering) Co., Ltd",60810.24,USD
104,RFPO-5532-M4050-1,08 Dec 2025,PO for Material Request MR-108 MR - Vehicle -Great Wall Pick-up - AG25AQ426A,"FASTWIN GROUP CO.,LIMITED",1371.88,USD
105,RFPO-6705-V40159-1,08 Dec 2025,PO for PVC Cement for COSA- Plumbing,"JW Supply House, Inc",664.66,USD
106,RFPO-7139-V40056-1,08 Dec 2025,"PO for EPOXY COATED REBAR ASTM A615/A615M, GRADE60, COATED TO  ASTM  A775",Nucor Rebar Fabrication,348872.4,USD
107,RFPO-5532-M4053-1,08 Dec 2025,PO for Isuzu Mini Van - AG25AQ426F - Mini Ambulance Parts (VIN: LGDCH91DXSA000743),"FASTWIN GROUP CO.,LIMITED",927.54,USD
108,RFPO-7139-V40057-1,08 Dec 2025,"PO for Cover and Frame, Cleanout - Sewer Manhole",EJ USA Inc.,7364.09,USD
109,RFPO-5532-M4054-1,08 Dec 2025,PO for AG25AQ426E - Laydown 1 Mechanic Work Shop – JMC Pick Up (VIN: JX1033TSEA),"FASTWIN GROUP CO.,LIMITED",4020.43,USD
110,RFPO-6705-V4361-1,04 Dec 2025,PO for Battery for Grout Pump,Triple J Ebeye Wholesale,353.69,USD
111,RFPO-7139-S9102-1,04 Dec 2025,PO for Pre-Shipment Inspection Scope for Steel Bar Bending & Cutting Machines,TUV SUD MIDDLE EAST LLC,1200,AED
112,RFPO-5532-M4051-1,04 Dec 2025,PO for  Material Request #MR-108 MR - Vehicle - -Nissan Pick-up - Vin:LJNTGUCYXNN264266   ,"FASTWIN GROUP CO.,LIMITED",1953.44,USD
113,RFPO-7139-V40054-1,04 Dec 2025,PO for PVC C-900 Pipe and Fittings -Purple,American International Supply Inc.,9819.85,USD
114,RFPO-7139-V40053-1,03 Dec 2025,PO for Pre-Shipment Inspection - INV-JFVN91473 - 9m3 Dust Suppression Truck (Ref: AM25E09170056602),V-Trust Inspection Service Co. Ltd.,268,USD
115,RFPO-7616-M4001-2,03 Dec 2025,PO for MR-60 for Vehicle and Equipment Maintenance – Mechanic Workshop - Official Quotation for MVL Bromgrove JV LLC (Project X058)-2025.11.6,Evangel International Machinery Ltd.,122648,USD
116,RFPO-6705-V40157-1,03 Dec 2025,PO for LSA & Batch plant -Plumbing items,Tsang Brothers Corporation,6983,USD
117,RFPO-6705-V40158-1,03 Dec 2025,PO for Storm Water Grate and Frame,American International Supply Inc.,17210.22,USD
118,RFPO-6705-V4360-1,03 Dec 2025,PO for JCB-Spare Parts for JCB backhoe loader ,Total Industries,3736.6,USD
119,RFPO-6705-O3-1,03 Dec 2025,PO for Bluebeam Core Annual Subscription for Andrew.Cabigon@mvl-group.com – Quotation Ref. SA689,AllCAD Solutions LLC,925,AED
120,RFPO-7139-M4018-1,28 Nov 2025,PO for Steel Bar Bending & Cutting Machines and Spare Parts,Modena Machinery Trading LLC,37300,AED
121,RFPO-7139-M4019-1,28 Nov 2025,"PO for TTransformer 7 KVA (4 KW), 3 Phase, 60 Hz - CXQ/2025/11/P-3924",Crux Transformers L.L.C,4000,AED
122,RFPO-6718-V40039-1,27 Nov 2025,PO for Cable Gland,Kelly & Hayes Electrical Industrial & Plumbing Supplies,2855,USD
123,RFPO-7212-V40013-2,27 Nov 2025,PO for Supports and Hangers,Technopro Middle East FZCO,15708.358,AED
124,RFPO-5532-M4049-1,27 Nov 2025,PO for Material Request #MR-105 MR - Parts for Roller for LUTONG LTC301  Compactor - Work Shop Mechanics - Jess CO,Evangel International Machinery Ltd.,556,USD
125,RFPO-7212-M4101-1,27 Nov 2025,PO for Grooved Fittings & Valves,Asia Electro Mechanical Company Limited,215573.061,AED
126,RFPO-5829-M4002-1,27 Nov 2025,PO for EDU20G – AIR FIELD PAVEMENT - WC/SQ/9922/R/1 - Petrol Vibrator  and Poker Shaft,WECARE MACHINERY TRADING – Sole Proprietorship LLC,7070,AED
127,RFPO-5829-E6818B-1,27 Nov 2025,PO for LV Cables,Dubai Cable Company (Private) Limited,3998398.763,AED
128,RFPO-7208-E6800-1,26 Nov 2025,"PO for Receptacles, Switches & Breakglass Station",Kelly & Hayes Electrical Industrial & Plumbing Supplies,12638.94,USD
129,RFPO-7139-V40052-1,26 Nov 2025,PO for Cressets Crete-Lease Bio-Tru-Xtra All-Xtra with PR,Cresset Chemical Company,3193.65,USD
130,RFPO-5829-S9105-2,26 Nov 2025,50T Crane with Badged Operator  - Duration: 27 November 2025 to 26 December 2025,OHIO GENERAL CONTRACTING LLC,55000,AED
131,RFPO-5532-M4048-2,25 Nov 2025,PO for MR-103 Spare Parts for Backhoe Loader MVL-OPS 006  CIF Singapore - MVL Bromgrove JV LLC,Evangel International Machinery Ltd.,939,USD
132,RFPO-5153-S9111-1,25 Nov 2025,PO for - Prime Contract Number: N62470-21-C-0003 - Project: P-759 Family Housing Villaggio SW & Camp Ederle North,IMPRESA PERCASSI S.P.A.,0,USD
133,RFPO-5532-M4047-1,24 Nov 2025,PO for BATCH 1 Equipment Supply for 2026 DG - Projects,Evangel International Machinery Ltd.,140800,AED
134,RFPO-5532-M4106-2,24 Nov 2025,PO for Batch Plant - Saddle Clamp & Connector  ANZ Waters - MV191125,Alwan Zamzam Trading Co. L.L.C,4731.45,AED
135,RFPO-5532-M4048-1,24 Nov 2025,PO for MR-103 Spare Parts for Backhoe Loader MVL-OPS 006  CIF Singapore - MVL Bromgrove JV LLC,Evangel International Machinery Ltd.,620,USD
136,RFPO-7212-V40012-1,24 Nov 2025,PO for Floor & Wall Supports,Al Asam Mechanical Services (LLC),33600,AED
137,RFPO-7212-V40014-1,24 Nov 2025,PO for Air Release Valve,Cla-Val Europe Sarl,560,USD
138,RFPO-7212-V40015-1,24 Nov 2025,PO for Pressure Gauge & Flow Indicator,Al Khoory International Products FZE,4000,AED
139,RFPO-5532-V4374-1,21 Nov 2025,PO for DG - MVL Branded Polo Shirts (Black & Grey) with Embroidered Logo,TSI International FZC,3200,AED
140,RFPO-1005-V7262-1,21 Nov 2025,PO for HDPE Pipes & fittings,Cimmaron International Corporation,10922.4,USD
141,RFPO-5532-M4106-1,21 Nov 2025,PO for Batch Plant - Saddle Clamp & Connector  ANZ Waters - MV191125,Alwan Zamzam Trading Co. L.L.C,1900,USD
142,RFPO-1569-O106-1,20 Nov 2025,PO for Access Control Setup – Office 1806  Ref: KT/1125/210,Kyoto Technologies,4964.5,AED
143,RFPO-6705-V40156-1,20 Nov 2025,PO for Mineral Wool (Rockwool Safe n Sound),"Scott & From Co., Inc.",1689.999999,USD
144,RFPO-7139-V40051-1,20 Nov 2025,PO for Slags for Concrete Mix Design,SMITHBRIDGE GUAM,10875.71007,USD
145,RFPO-7139-E6821-1,19 Nov 2025,PO for Smart Rock 3ER Wireless sensor,Giatec Scientific Inc,5080,USD
146,RFPO-6646-V40004-1,19 Nov 2025,PO for Warranty,MCELROY METAL,5000,USD
147,RFPO-7039-E6802B-2,19 Nov 2025,PO for MV CABLES,Oman Cables Industry (SAOG),1815495.687,USD
148,RFPO-7039-V40029-1,19 Nov 2025,PO for Concrete Supply and Laboratory Services,BLACK CONSTRUCTION CORPORATION,31888.5,USD
149,RFPO-7212-V40010-1,19 Nov 2025,PO for Pressure Gauge,INTEGRATED CONTRACTING SUPPLIERS,344,USD
150,RFPO-7212-V40011-1,19 Nov 2025,PO for Test and Drain Valve,Blue Line Trading Group LLC,3512.65,USD
151,RFPO-7212-V40006-1,18 Nov 2025,PO for Flange Clamps,New Horizon Building Materials Trading LLC,66640,AED
152,RFPO-7212-V40007-1,18 Nov 2025,PO for Seismic Bracing,NATIONAL FIRE FIGHTING MANUFACTURING FZCO,9053,USD
153,RFPO-7212-V40008-1,18 Nov 2025,PO for Thread rod & Couplers,Fastener Point LLC,8610.5,AED
154,RFPO-7212-V40009-1,18 Nov 2025,PO for Sprinklers,Al Khoory International Products FZE,68000,AED
155,RFPO-6705-E6841-1,17 Nov 2025,PO for LSA-Electrical Items,CPS ELECTRIC,6040.3,USD
156,RFPO-6705-V40155-1,17 Nov 2025,PO for LSA-Building Materials,Tsang Brothers Corporation,558,USD
157,RFPO-6705-V40149-2,17 Nov 2025,"PO for 	SOG Rebars, CMU Rebars, Additional Rebars for Fabrication & Foundation Remaining rebars",Nucor Rebar Fabrication,234184,USD
158,RFPO-7212-V40005B-1,17 Nov 2025,PO for Pipes & fittings for Sprinkler System,Technopro Middle East FZCO,243665.552,AED
159,RFPO-5503-A5205-2,17 Nov 2025,PO for Schüco ADS 80 FR60 fire-resistant fixed window with anodized (CO) finish and Pilkington Pyrostop 60-351 EI60 glazing,PETROUTSOS BROS LTD,23560,EURO
160,RFPO-6705-V40154A-1,14 Nov 2025,"PO for STAINLESS STEEL SS316, ASTM A312, SCH40 WELDED PIPES",PENN STAINLESS PRODUCTS,14256.3914,USD
161,RFPO-6705-V40154-1,13 Nov 2025,"PO for STAINLESS STEEL SS316, ASTM A312, SCH40 WELDED PIPES",PENN STAINLESS PRODUCTS,12256.39,USD
162,RFPO-7139-V40049-1,13 Nov 2025,PO for STAINLESS STEEL SS316,PENN STAINLESS PRODUCTS,18730.35,USD
163,RFPO-6705-E6839-1,13 Nov 2025,PO for Cable Tags,WESCO Distribution Inc,12225.36,USD
164,RFPO-6705-E6840-1,13 Nov 2025,PO for LSA-Electrical Items,CPS ELECTRIC,11962.65,USD
165,RFPO-7039-E6808-1,13 Nov 2025,PO for MV Cable Splice kits & Crimping Tools,Benfield Electric International Ltd.,97694.97,USD
166,RFPO-7139-V4356-1,12 Nov 2025,PO for Ref. Quotation S00645 / Basketball Uniforms,TSI International FZC,3539.25,AED
167,RFPO-6705-E6836A-2,12 Nov 2025,PO for EMT Conduits and Accessories,WESCO Distribution Inc,3626.53,USD
168,RFPO-6705-V40153-1,12 Nov 2025,PO for Medical Laboratory-Additional items,Humboldt Mfg Co,16494.7,USD
169,RFPO-1569-O103-2,12 Nov 2025,PO for MVL Lebanon - IT Accessories - KT/1125/210,Kyoto Technologies,12078.6,AED
170,RFPO-1569-O103-3,12 Nov 2025,PO for MVL Lebanon - IT Accessories - KT/1125/210,Kyoto Technologies,12364,AED
171,RFPO-7208-V40026-1,12 Nov 2025,PO for Joint Sealants,Sunshine Supply Co Inc,2517.15,USD
172,RFPO-6705-V40151-1,12 Nov 2025,"PO for Gypsum Board, Lumber & plywood",Tsang Brothers Corporation,31561,USD
173,RFPO-6705-V40152-1,11 Nov 2025,PO for Drain Inlet/Drain Box Rebars & Epoxy Patch Kit,Nucor Rebar Fabrication,12092,USD
174,RFPO-6705-V4359-1,11 Nov 2025,PO for John Deere Tractor loader parts,Warai Equipment Services,4131,USD
175,RFPO-7139-V40047-1,11 Nov 2025,"PO for JFVN39596  - Pre-Shipment Inspection - SANY STC500C5-8 50-ton Crane - November 14, 2025",V-Trust Inspection Service Co. Ltd.,268,USD
176,RFPO-7139-V40048-1,11 Nov 2025,PO for JFVN39470- Pre-Shipment Inspection - DONGFENG 375HP 6x4 tractor truck,V-Trust Inspection Service Co. Ltd.,268,USD
177,RFPO-6718-V40038-2,11 Nov 2025,PO for Precision Machinist Level,Jet Fuel Specialists LLC,316.22,USD
178,RFPO-6705-V40070-2,11 Nov 2025,PO for Quickrete- Cement & Sand,LOWES,2538.99,USD
179,RFPO-7139-E6820-1,10 Nov 2025,PO for MR-120-2025 Sectional Ground Rods and Accessories for ATCT Project (RMI-127) - SQ-SHJ-2025-25211824,Haji Commercial Company LLC,2202,AED
180,RFPO-5657-M4106-1,10 Nov 2025,PO for Float Switch,Zoeller Pump Company,183.6,USD
181,RFPO-5829-V40036-1,10 Nov 2025,PO for Free Issued - IDEAL FLOORING LLC  Ref: IDF-Q-DXB-D023-NOV-2025-Rev 4  Scope: VCT Tiles as per Approved Submittal,IDEAL FLOORING LLC,94096.4,AED
182,RFPO-7616-S9100-1,10 Nov 2025,"PO for TPI Visit at JAFZA, Dubai against PO Ref. RFPO-7616-M4000-1",TUV SUD MIDDLE EAST LLC,1200,AED
183,RFPO-7864-V40003-1,10 Nov 2025,PO for Carpet,Welspun Global Brands Limited,1160.952,USD
184,RFPO-1569-O103-1,07 Nov 2025,PO for MVL Lebanon - IT Accessories - KT/1125/210,Kyoto Technologies,11460.6,AED
