RowNo,PONumber,PODate,POName,Supplier,Entity,Project,Material,Discipline,Value,Currency,Year,Month,SourceTab,OriginalSource
881,RFPO-6705-V40027-1,23 Jan 2025,PO for Plumbing Tools ,MONJE,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,6875.88,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
882,RFPO-6852-V40021-1,23 Jan 2025,PO for Fabricated Civil Supports,Isam Kabbani Trading LLC,MVL USA JV LLC,BIOT-121.35 N4008424F4221 QC8067-Repair To Fuel Piping System. F#408 NSF DG,Building Materials,Construction,26230.66,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
883,RFPO-6705-E6802-1,23 Jan 2025,PO for  Southwire LV Cable THHN/THWN/TW/XHHW ,EMSI Inc.,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,13317.4,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
884,RFPO-5532-V40054-1,22 Jan 2025,PO for Best Weld 717-21 PVC Heavy Duty Clear Cement 473ml,Leeds Services Co. Pte Ltd.,MVL USA JV LLC,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,Mechanical,1800.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
885,RFPO-6542-V40019B-1,22 Jan 2025,PO for Floor Drain & Cleanouts,Blue Line Trading Group LLC,Yamauchi Gumi,"JPN-124 FA890323C0031 Renovate Bldgs 111, 116 And 119 At Okinawa, Japan",Building Materials,Construction,946.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
886,RFPO-7139-E6800-1,21 Jan 2025,PO for MV Cables,EMSI Inc.,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,5976.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
887,RFPO-5532-M4029-1,21 Jan 2025,"PO for SPARE PARTS - Backhoe XCMG 1.0m3 4WD backhoe loader WZ30- 25 ENGINE NO.: BY7G1P00044 CHASSIS NO.: XUG0WZ30JPCA00804 PIN: XUG0WZ30JPCA00804, HELI FORKLIFT and Dong Feng Truck Crane",Evangel International Machinery Ltd.,MVL USA JV LLC,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,Mechanical,7329.3,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
888,RFPO-6841-V40009-1,21 Jan 2025,PO for Vibration Isolators & Pads,Kinetics Middle East LLC,MVL USA JV LLC,"BIOT-121.54 N4008424F4212 QS6063 - REPLACE AC UNIT, UPH-23, F-171, WO#1575078",Mechanical Items,Mechanical,1250.73,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
889,RFPO-6544-V40013-1,17 Jan 2025,PO for Fabricated Stainless Steel Material,"H&M Metal Crafters, LLC",MVL USA JV LLC,BIOT-121.49 X016 N4008423F4678 QC2025 REPAIRS TO FACILITY 824,Building Materials,Construction,2446.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
890,RFPO-1569-V4420-1,16 Jan 2025,PO for SHARP MX3051 - 1 SET OF TONERS,Printek  SUPPLIES L.L.C,MACRO,OFFICE 1803 FURNITURES,Misc.,General,517.37,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
891,RFPO-6544-V40012-1,16 Jan 2025,PO for Roofing Materials,HEELY-BROWN COMPANY,MVL USA JV LLC,BIOT-121.49 X016 N4008423F4678 QC2025 REPAIRS TO FACILITY 824,Building Materials,Construction,9249.28,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
892,RFPO-6705-E6801-1,16 Jan 2025,PO for A52EA12,EMSI Inc.,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,7904.15,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
893,RFPO-6542-A5201A-1,15 Jan 2025,PO for Non-fire rated steel door,Vulcan Industries LLC,Yamauchi Gumi,"JPN-124 FA890323C0031 Renovate Bldgs 111, 116 And 119 At Okinawa, Japan",Building Materials,Construction,5950.95,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
894,RFPO-6705-V40026-1,15 Jan 2025,PO for R-38 Knauf Ceiling Insulation,Dateline Exports Inc.,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,32974.86,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
895,RFPO-5695-V40014-1,14 Jan 2025,PO for DIAMOND WIRE SAW - AS PER ATTACHED QUOTATION,"Zhengzhou Yugong Construction Machinery Co., Ltd.",MVL USA JV LLC,"BIOT-121.16 N4008422F4476 QC1018 REPAIR BOLLARDS, POL PIER",Building Materials,Construction,4722.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
896,RFPO-7205-E6801-1,14 Jan 2025,"PO for Weather Shelter 3, 4 and 5 - LIGHTING FIXTURES - INTERNAL AND EXTERNAL - AS PER ATTACHED APPROVED SUBMITTALS",BAIT AL-ASEEL FOR GENERAL TRADING AND CONTRACTING,"MVL USA, INC","ORD-7205 KUW-129.71 W5J9JE24F0015 Weather Shelter 4, Project #1 Camp Buering, Kuwait",Subcontract,Services,75586.36,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
897,RFPO-7010-V40005-1,14 Jan 2025,PO for Ladder Consumables - Angles & Strip,Isam Kabbani Trading LLC,MACRO,"BIOT-121.65 N4008424R8904 QC2035 REPAIR TO RADAR TOWER, F-8000",Building Materials,Construction,1177.7,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
898,RFPO-7010-V40003-2,14 Jan 2025,PO for Steel Platform Decking,Oasis Metal Manufacturing LLC,MACRO,"BIOT-121.65 N4008424R8904 QC2035 REPAIR TO RADAR TOWER, F-8000",Building Materials,Construction,3648.02,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
899,RFPO-6542-V40009A-1,14 Jan 2025,PO for Receptacles (WP & non-WP) with Cover,WESTEX GROUP INC,Yamauchi Gumi,"JPN-124 FA890323C0031 Renovate Bldgs 111, 116 And 119 At Okinawa, Japan",Building Materials,Construction,1865.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
900,RFPO-6542-E6810-1,14 Jan 2025,"PO for Switches, Dimmers, Occupancy Sensors, Power banks incld. Plates [FOR BLDG B111,B116]",Benfield Electric International Ltd.,Yamauchi Gumi,"JPN-124 FA890323C0031 Renovate Bldgs 111, 116 And 119 At Okinawa, Japan",Building Materials,Construction,2134.48,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
901,RFPO-6542-E6811-1,14 Jan 2025,"PO for Switches, Dimmers, Occupancy Sensors, Power banks incld. Plates [FOR BLDG B119]",Benfield Electric International Ltd.,Yamauchi Gumi,"JPN-124 FA890323C0031 Renovate Bldgs 111, 116 And 119 At Okinawa, Japan",Building Materials,Construction,977.22,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
902,RFPO-5532-V40052-1,13 Jan 2025,PO for Aggregates and Cement - January Vessel,Leeds Services Co. Pte Ltd.,MVL USA JV LLC,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,Mechanical,18974.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
903,RFPO-6852-V40020-1,13 Jan 2025,PO for Camlock with Dust Cap (2inch & 3inch),Jet Fuel Specialists LLC,MVL USA JV LLC,BIOT-121.35 N4008424F4221 QC8067-Repair To Fuel Piping System. F#408 NSF DG,Building Materials,Construction,2787.07,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
904,RFPO-6841-V40007-1,13 Jan 2025,PO for Duct Paints,The Sherwin-Williams Company,MVL USA JV LLC,"BIOT-121.54 N4008424F4212 QS6063 - REPLACE AC UNIT, UPH-23, F-171, WO#1575078",Mechanical Items,Mechanical,1029.24,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
905,RFPO-5532-V40053-1,13 Jan 2025,PO for JFV140401 - Pre-Shipment Inspection Supplier: Evangel International Machinery Ltd. Ref# Item No : 3 - SINOTRUK HOWO 400HP 6X4 dump truckItem# SINOTRUK HOWO 400HP 6X4 dump truck,V-Trust Inspection Service Co. Ltd.,MVL USA JV LLC,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,Mechanical,1072.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
906,RFPO-6746-V40021-1,13 Jan 2025,PO for Non slip aggregate,The Sherwin-Williams Company,MVL USA JV LLC,"BIOT-121.55 N4008424F4084 X019 QN7003 - REPAIRS TO BASE POOL, F-105, WON1587110, DG",Building Materials,Construction,1070.9,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
907,RFPO-7098-V40000-1,10 Jan 2025,"PO for BACKER ROD, SPEC POXY SAMPLES",Dateline Exports Inc.,MVL USA JV LLC,"ORD-7098 BIOT-121.69 N4008424F4613_eProject 1735497 QC2090- REPAIR TAXIWAY SIGNS, F-200044",Building Materials,Construction,838.31,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
908,RFPO-6852-V40019A-1,08 Jan 2025,PO for U-Bolt & Friction Pads,APP Manufacturing,MVL USA JV LLC,BIOT-121.35 N4008424F4221 QC8067-Repair To Fuel Piping System. F#408 NSF DG,Building Materials,Construction,16696.33,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
909,RFPO-7027-V40005B-1,08 Jan 2025,PO for Duct and accessories,FIRMAC INDUSTRIES L.L.C,MVL USA JV LLC,"BIOT-121.63 N4008424F4424 QC3010 REPLACE HVAC SYSTEM, F-161 (NGIS 19)",Machine / Equipments,Mechanical,2820.01,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
910,RFPO-7039-V40004-1,08 Jan 2025,"PO for Civil Items X025, X027, X055","White Cap Supply Holdings, LLC",MACRO,"BIOT-121.60 N4008424F4507 EProject 1693634 REPAIR SPP F1SA AND F2S OVERHEAD FEEDERS, RM20-1216",Building Materials,Construction,11459.47,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
911,RFPO-7010-V40004A-1,08 Jan 2025,PO for Ladder - consumables (Nut/bolt/washer),Isam Kabbani Trading LLC,MACRO,"BIOT-121.65 N4008424R8904 QC2035 REPAIR TO RADAR TOWER, F-8000",Building Materials,Construction,67.23,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
912,RFPO-6542-V40025-1,08 Jan 2025,PO for Wall and Kitchen Cabinet,Shark Cabinet INC,Yamauchi Gumi,"JPN-124 FA890323C0031 Renovate Bldgs 111, 116 And 119 At Okinawa, Japan",Building Materials,Construction,7076.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
913,RFPO-6705-V40024-1,08 Jan 2025,PO for PORTABLE GENERATOR,MONJE,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,4073.3,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
914,RFPO-6841-T1000-1,08 Jan 2025,PO for Duct Accessories,ANBI GENERAL TRADING LLC,MVL USA JV LLC,"BIOT-121.54 N4008424F4212 QS6063 - REPLACE AC UNIT, UPH-23, F-171, WO#1575078",Mechanical Items,Mechanical,411.17,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
915,RFPO-6705-V40025-1,08 Jan 2025,PO for Fiberglass Ladder,Dateline Exports Inc.,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,1254.57,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
916,RFPO-6841-V40006-1,08 Jan 2025,PO for PVC Engraved Labels. 150 (L)x100(W) mm. 65mm height for letters. White Letters and Black background.,Grace Labels LLC,MVL USA JV LLC,"BIOT-121.54 N4008424F4212 QS6063 - REPLACE AC UNIT, UPH-23, F-171, WO#1575078",Mechanical Items,Mechanical,122.53,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
917,RFPO-7039-V40003-1,07 Jan 2025,"PO for Warning Tape, Sealant",Kelly & Hayes Electrical Industrial & Plumbing Supplies,MACRO,"BIOT-121.60 N4008424F4507 EProject 1693634 REPAIR SPP F1SA AND F2S OVERHEAD FEEDERS, RM20-1216",Building Materials,Construction,3235.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
918,RFPO-5657-M4105-1,07 Jan 2025,PO for Replacement of Submersible Pump,Zoeller Pump Company,MVL USA JV LLC,"ORD-5657 BIOT-121.17 N4008422F4422 X017 1638204, QF9006 - REPAIRS TO SEWAGE LIFT STATIONS",Building Materials,Construction,5721.56,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
919,RFPO-7010-V40002-1,06 Jan 2025,"PO for Fixed Ladder , Guard Rail & Ladder Safety device",SkyHigh Ladders & Guardrails Inc.,MACRO,"BIOT-121.65 N4008424R8904 QC2035 REPAIR TO RADAR TOWER, F-8000",Building Materials,Construction,35600.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
920,RFPO-1569-O78-1,06 Jan 2025,PO for NISTCMMC Project implementation,RivYv Technologies,MACRO,OFFICE 1803 FURNITURES,Misc.,General,800.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
921,RFPO-6852-V40018A-1,06 Jan 2025,PO for Hardware for Civil works fabrications (Balance),Isam Kabbani Trading LLC,MVL USA JV LLC,BIOT-121.35 N4008424F4221 QC8067-Repair To Fuel Piping System. F#408 NSF DG,Building Materials,Construction,761.55,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
922,RFPO-5657-V40016-2,06 Jan 2025,"PO for Start-Up, Testing, and Commissioning of Sewage Pumping Systems (SIX LIFT STATIONS)",FLUIDS SOLUTIONS,MVL USA JV LLC,"ORD-5657 BIOT-121.17 N4008422F4422 X017 1638204, QF9006 - REPAIRS TO SEWAGE LIFT STATIONS",Building Materials,Construction,27360.0,USD,2025,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
923,RFPO-6705-M4008A-2,24 Dec 2024,PO for KWAJALEIN HEAVY MACHINERIES PRIORITY 1,Evangel International Machinery Ltd.,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,200857.6,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
924,RFPO-6542-A5201-1,24 Dec 2024,PO for Non-fire rated steel door,Vulcan Industries LLC,Yamauchi Gumi,"JPN-124 FA890323C0031 Renovate Bldgs 111, 116 And 119 At Okinawa, Japan",Building Materials,Construction,5947.03,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
925,RFPO-6705-M4102-1,24 Dec 2024,PO for 750KVA Oil Type Transformer,"Jiangsu Ryan Electric Co.,Ltd",MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,41440.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
926,RFPO-7039-V40002-1,23 Dec 2024,"PO for Curing Materials, Non shrink grout",Al Majara Polychem Industries LLC,MACRO,"BIOT-121.60 N4008424F4507 EProject 1693634 REPAIR SPP F1SA AND F2S OVERHEAD FEEDERS, RM20-1216",Building Materials,Construction,1887.45,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
927,RFPO-7139-M4000-1,23 Dec 2024,PO for J9159 ROCK HYDRAULIC BREAKER and  Single Arm Digger for XC740K,Evangel International Machinery Ltd.,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,3400.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
928,RFPO-6705-M4101-1,20 Dec 2024,PO for Unit Substation - 186inch  W X 92inch H X60inch D,TURTLE,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,276922.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
929,RFPO-6705-M4101-2,20 Dec 2024,PO for Unit Substation - 186inch  W X 92inch H X60inch D,TURTLE,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,276922.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
930,RFPO-6705-M4101-3,20 Dec 2024,PO for Unit Substation - 186inch  W X 92inch H X60inch D,TURTLE,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,288622.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
931,RFPO-6705-E6800-2,19 Dec 2024,Supply of Medium Voltage Cables,EMSI Inc.,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,29920.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
932,RFPO-5829-A5301-1,19 Dec 2024,PO for FREE ISUUED - EXTERIOR PAINTS - TRITON AS PER APPROVED SUBMITTALS,SAS express BUILDING MATERIALS TRADING LLC,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,4979.01,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
933,RFPO-5829-V40020-1,19 Dec 2024,PO for FREE ISUUED - INTERIOR PAINTS - TRITON AS PER APPROVED SUBMITTALS,SAS express BUILDING MATERIALS TRADING LLC,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,53093.05,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
934,RFPO-6841-V40005A-1,19 Dec 2024,PO for Duct and accessories,FIRMAC INDUSTRIES L.L.C,MVL USA JV LLC,"BIOT-121.54 N4008424F4212 QS6063 - REPLACE AC UNIT, UPH-23, F-171, WO#1575078",Mechanical Items,Mechanical,794.17,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
935,RFPO-6746-V40012-1,18 Dec 2024,PO for Water Meter,TIC LIGHT ELECTRICAL CORP,MVL USA JV LLC,"BIOT-121.55 N4008424F4084 X019 QN7003 - REPAIRS TO BASE POOL, F-105, WON1587110, DG",Building Materials,Construction,3124.95,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
936,RFPO-5532-V40051-1,18 Dec 2024,PO for Pre-Shipment Inspection,V-Trust Inspection Service Co. Ltd.,MVL USA JV LLC,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,Mechanical,268.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
937,RFPO-1005-S9105-1,16 Dec 2024,PO for Pre-shipment Inspection Charges,TUV SUD MIDDLE EAST LLC,MICRON,SUPPLY OF FRP PIPES,Fit Out Project,Construction,140.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
938,RFPO-1569-O76-1,16 Dec 2024,PO for SERVER UPGRADE EQUIPMENTS,AL KOFA COMPUTER TRADING LLC,MACRO,OFFICE 1803 FURNITURES,Misc.,General,514.65,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
939,RFPO-7204-V40001-1,16 Dec 2024,PO for Supply of Roof and Wall Panel Weather Shelter 3- as per Approved Submittal,Emirates Industrial Panel,"MVL USA, INC","ORD-7204 KUW-129.73 W5J9JE24F0017 Weather Shelter 3, Project  #3, Camp Buering Kuwait",Subcontract,Services,99063.95,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
940,RFPO-7205-V40001-1,16 Dec 2024,PO for Supply of Roof and Wall Panel Weather Shelter 4- as per Approved Submittal,Emirates Industrial Panel,"MVL USA, INC","ORD-7205 KUW-129.71 W5J9JE24F0015 Weather Shelter 4, Project #1 Camp Buering, Kuwait",Subcontract,Services,99063.95,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
941,RFPO-7198-V40001-1,16 Dec 2024,PO for Supply of Roof and Wall Panel Weather Shelter 5- as per Approved Submittal,Emirates Industrial Panel,"MVL USA, INC","ORD-7198 KUW-129.70 W5J9JE24F0016 Weather Shelter #5 Project #2 Camp Buering, Kuwait",Subcontract,Services,99063.95,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
942,RFPO-1569-O77-1,16 Dec 2024,PO for Bluebeam Core - Annual Subscription,AllCAD Solutions LLC,MACRO,OFFICE 1803 FURNITURES,Misc.,General,560.94,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
943,RFPO-5532-M4028-1,16 Dec 2024,PO for XCMG 50 TON TRUCK CRANE MDOEL QY50KD - with Two years wearing spare parts,Evangel International Machinery Ltd.,MVL USA JV LLC,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,Mechanical,141735.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
944,RFPO-5829-V40023-1,11 Dec 2024,PO for PROCUREMENT SUPPORT - TRITON - VALVES - AS PER APPROVED SUBMITTAL,AL FUAD TRADING ESTABLISHMENT,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,41087.89,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
945,RFPO-5829-V40024-1,11 Dec 2024,PO for Supply of Fixed Bollards as per Approved Submittal,Lomeq Technical Services Co. L.L.C,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,11450.22,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
946,RFPO-5503-V40013-1,11 Dec 2024,PO for MVL QUALTIY CONTROL RAPIDROP PIV GATE VALVES - AS PER APPROVED QUOTATION,FORMULA TECHNIKI S.A.,MVL Greece,GRE-121 N6247022C0002 Communications Center - Souda Bay,Misc.,General,2857.5,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
947,RFPO-6542-V40024-1,11 Dec 2024,PO for Toilet Compartments,SMART CHOICE DECOR. LLC,Yamauchi Gumi,"JPN-124 FA890323C0031 Renovate Bldgs 111, 116 And 119 At Okinawa, Japan",Building Materials,Construction,2334.08,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
948,RFPO-6746-V40020-1,11 Dec 2024,PO for Gala Valves,SALEH ZAID ALQURAISHI & PARTNERS TRAD.CO.LTD.,MVL USA JV LLC,"BIOT-121.55 N4008424F4084 X019 QN7003 - REPAIRS TO BASE POOL, F-105, WON1587110, DG",Building Materials,Construction,9598.53,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
949,RFPO-7204-E6800-1,10 Dec 2024,PO for Low Velocity Fan Weather Shelter 3 - as per attached approved submittal,Gulf Facilities Trading & Contracting Co.,"MVL USA, INC","ORD-7204 KUW-129.73 W5J9JE24F0017 Weather Shelter 3, Project  #3, Camp Buering Kuwait",Subcontract,Services,22465.95,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
950,RFPO-7205-E6800-1,10 Dec 2024,PO for Low Velocity Fan Weather Shelter 4 as per Approved Submittal,Gulf Facilities Trading & Contracting Co.,"MVL USA, INC","ORD-7205 KUW-129.71 W5J9JE24F0015 Weather Shelter 4, Project #1 Camp Buering, Kuwait",Subcontract,Services,22465.95,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
951,RFPO-7198-E6800-1,10 Dec 2024,PO for Low Velocity Fan Weather Shelter 5 as per Approved Submittal,Gulf Facilities Trading & Contracting Co.,"MVL USA, INC","ORD-7198 KUW-129.70 W5J9JE24F0016 Weather Shelter #5 Project #2 Camp Buering, Kuwait",Subcontract,Services,22465.95,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
952,RFPO-7204-E6800-2,10 Dec 2024,PO for SAMPLE,(ATC) Asr Taqa Contracting,"MVL USA, INC","ORD-7204 KUW-129.73 W5J9JE24F0017 Weather Shelter 3, Project  #3, Camp Buering Kuwait",Subcontract,Services,0.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
953,RFPO-6705-M4009-1,06 Dec 2024,PO for Golf Cart 8-seater Model - GM-6D+2,"Henan XunHu Equipment Co., Ltd",MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,16060.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
954,RFPO-6705-V40022-1,06 Dec 2024,PO for Outdoor Carport Tent,LOWES,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,2210.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
955,RFPO-5657-V40016-1,05 Dec 2024,"PO for Start-Up, Testing, and Commissioning of Sewage Pumping Systems (SIX LIFT STATIONS)",FLUIDS SOLUTIONS,MVL USA JV LLC,"ORD-5657 BIOT-121.17 N4008422F4422 X017 1638204, QF9006 - REPAIRS TO SEWAGE LIFT STATIONS",Building Materials,Construction,20052.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
956,RFPO-6705-M4008A-1,05 Dec 2024,PO for KWAJALEIN HEAVY MACHINERIES PRIORITY 1,Evangel International Machinery Ltd.,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,201087.6,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
957,RFPO-6746-A5301-1,05 Dec 2024,PO for High Performance Coating,BM Middle East FZC,MVL USA JV LLC,"BIOT-121.55 N4008424F4084 X019 QN7003 - REPAIRS TO BASE POOL, F-105, WON1587110, DG",Building Materials,Construction,29020.0,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
958,RFPO-6408-V40023-1,05 Dec 2024,PO for Retouch Paints,The Sherwin-Williams Company,MACRO,"BIOT-121.41 N4008423F4520 REPLACE SPLIT-TYPE A/C UNITS, UPH 2, DIEGO GARCIA, BIOT",Building Materials,Construction,2976.78,USD,2024,12,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
