RowNo,PONumber,PODate,POName,Supplier,Entity,EntityCode,Project,Material,OriginalValue,Currency,ValueUSD,POSpendUSD,POType,Year,Month,YearMonth,UsedInTab
248,RFPO-5532-V40088-1,10 Oct 2025,PO for Aviation Lights,MEKA İTHALAT İHRACAT PAZARLAMA VE TİC. A.Ş,MVL USA JV LLC,V40088,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,3019.09,EURO,3019.09,3019.09,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
249,RFPO-6852-V40035-1,10 Oct 2025,PO for Ball Valves (for Fuel Piping),Jet Fuel Specialists LLC,MVL USA JV LLC,V40035,BIOT-121.35 N4008424F4221 QC8067-Repair To Fuel Piping System. F#408 NSF DG,Building Materials,7763.45,USD,7763.45,7763.45,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
250,RFPO-6705-M4026-1,09 Oct 2025,"PO for ChemGrout CG555/030/DHES/HP Trailer Mounted, Diesel/Hydraulic powered, High Pressure Grout Pump with Accessories and Spares",ACE CENTRO ENTERPRISES,MACRO,M4026,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,181870.0,AED,49523.2,49523.2,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
251,RFPO-1569-V4427-1,08 Oct 2025,Plan Swift 11 Measurements & QTY Takeoff Software -  Perpetual License - Mardhini Siddaiah,Green Figure Technique,MACRO,V4427,OFFICE 1803 FURNITURES,Misc.,8200.0,AED,2232.86,2232.86,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
252,RFPO-7208-V40021-1,08 Oct 2025,PO for Panel Boards,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MVL USA JV LLC,V40021,"ORD-7208 BIOT-121.76 N4008424F4725 REPAIRS TO CHRIMP FACILITY 724 (QS60400) &amp; FACILITY 725 (QS6041), NSFDG",Building Materials,2060.12,USD,2060.12,2060.12,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
253,RFPO-6705-V40141-1,08 Oct 2025,PO for Carrier DX Split AC Package,Dateline Exports Inc.,MACRO,V40141,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,12463.17,USD,12463.17,12463.17,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
254,RFPO-7139-S9130-2,08 Oct 2025,PO for Canopy Storage Shelter,BIG TOP SHELTERS,"MVL USA, INC",S9130,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,111700.0,USD,111700.0,111700.0,Change Order,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
255,RFPO-6705-V40061-2,07 Oct 2025,PO for Block Saw & Saw Blade,MONJE,MACRO,V40061,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,8048.24,USD,8048.24,8048.24,Change Order,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
256,RFPO-7039-V40026-1,07 Oct 2025,PO for Admixtures,SODAMCO EMIRATES FACTORY FOR BUILDING MATERIALS LLC,MACRO,V40026,"BIOT-121.60 N4008424F4507 EProject 1693634 REPAIR SPP F1SA AND F2S OVERHEAD FEEDERS, RM20-1216",Building Materials,17000.0,AED,4629.1,4629.1,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
257,RFPO-7039-E6807-1,07 Oct 2025,PO for Conduit Plugs,EMSI Inc.,MACRO,E6807,"BIOT-121.60 N4008424F4507 EProject 1693634 REPAIR SPP F1SA AND F2S OVERHEAD FEEDERS, RM20-1216",Building Materials,4808.806,USD,4808.81,4808.81,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
258,RFPO-7208-V40020-1,07 Oct 2025,PO for Duct Connector,Delta Duct Airconditioning LLC,MVL USA JV LLC,V40020,"ORD-7208 BIOT-121.76 N4008424F4725 REPAIRS TO CHRIMP FACILITY 724 (QS60400) &amp; FACILITY 725 (QS6041), NSFDG",Building Materials,375.0,AED,102.11,102.11,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
259,RFPO-1005-V7256-1,03 Oct 2025,PO for Sheet Piles,ArcelorMittal DSTC FZE,MICRON,V7256,SUPPLY OF FRP PIPES,Fit Out Project,116775.0,AED,31797.83,31797.83,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
260,RFPO-7139-V4355-1,03 Oct 2025,PO for Crane Lifting Gear-Accessories,Jack Rubin & Sons Inc,"MVL USA, INC",V4355,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,3185.3,USD,3185.3,3185.3,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
261,RFPO-7208-V40019-1,02 Oct 2025,PO for Gypsum Board & Supports,Gypsemna Co.LLC,MVL USA JV LLC,V40019,"ORD-7208 BIOT-121.76 N4008424F4725 REPAIRS TO CHRIMP FACILITY 724 (QS60400) &amp; FACILITY 725 (QS6041), NSFDG",Building Materials,45575.88,USD,45575.88,45575.88,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
262,RFPO-6705-V40139-1,02 Oct 2025,PO for MVL stickers & Magnet Signs,Sign King Inc,MACRO,V40139,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,2100.0,USD,2100.0,2100.0,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
263,RFPO-6705-E6834-1,02 Oct 2025,PO for Batch Plant Temporary Generator-Electrical Items,TIC LIGHT ELECTRICAL CORP,MACRO,E6834,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,14665.21,USD,14665.21,14665.21,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
264,RFPO-6705-V40138-1,01 Oct 2025,PO for Reinforcing Bar Supports,Dateline Exports Inc.,MACRO,V40138,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,7977.1,USD,7977.1,7977.1,Base PO,2025,10,2025-10,GSA (Global Spend Analysis) + M&D (as PO)
265,RFPO-5829-R1510-1,30 Sep 2025,PO for 70 ton - 70 ton - Rough Terrain Hydraulic Cranes 3 Months Rental - Ref No.: 2EQ2501416-R01,JOHNSON ARABIA LLC,MACRO,R1510,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,160000.0,AED,43568.0,43568.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
266,RFPO-7208-V40018-1,30 Sep 2025,PO for Duct supports and Hangers,Isam Kabbani Trading LLC,MVL USA JV LLC,V40018,"ORD-7208 BIOT-121.76 N4008424F4725 REPAIRS TO CHRIMP FACILITY 724 (QS60400) &amp; FACILITY 725 (QS6041), NSFDG",Building Materials,70070.53,AED,19080.21,19080.21,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
267,RFPO-7208-A5302-1,30 Sep 2025,PO for Paints & Coatings,BM Middle East FZC,MVL USA JV LLC,A5302,"ORD-7208 BIOT-121.76 N4008424F4725 REPAIRS TO CHRIMP FACILITY 724 (QS60400) &amp; FACILITY 725 (QS6041), NSFDG",Building Materials,51177.28,USD,51177.28,51177.28,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
268,RFPO-6705-V40137-1,30 Sep 2025,PO for Detection Tracer Wire,American International Supply Inc.,MACRO,V40137,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,770.0,USD,770.0,770.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
269,RFPO-6705-V40086-2,30 Sep 2025,PO for RSC Conduits and Fittings,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MACRO,V40086,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,18910.46,USD,18910.46,18910.46,Change Order,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
270,RFPO-7139-V4354-1,29 Sep 2025,PO for Emergency Rescue Kit ,Rock-N-Rescue,"MVL USA, INC",V4354,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,2771.98,USD,2771.98,2771.98,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
271,RFPO-6746-V40027-1,29 Sep 2025,PO for Testing Support for Chlorinator System,WMS Aquatics,MVL USA JV LLC,V40027,"BIOT-121.55 N4008424F4084 X019 QN7003 - REPAIRS TO BASE POOL, F-105, WON1587110, DG",Building Materials,135.0,USD,135.0,135.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
272,RFPO-7039-V40025-1,29 Sep 2025,PO for Fabric innerducts ,"Guangzhou Pareto Technology Co.,LTD",MACRO,V40025,"BIOT-121.60 N4008424F4507 EProject 1693634 REPAIR SPP F1SA AND F2S OVERHEAD FEEDERS, RM20-1216",Building Materials,66812.7,USD,66812.7,66812.7,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
273,RFPO-7039-V40024A-1,29 Sep 2025,PO for Splicing Iron and Marmac,"White Cap Supply Holdings, LLC",MACRO,V40024A,"BIOT-121.60 N4008424F4507 EProject 1693634 REPAIR SPP F1SA AND F2S OVERHEAD FEEDERS, RM20-1216",Building Materials,5005.7245,USD,5005.72,5005.72,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
274,RFPO-7139-V40042-1,26 Sep 2025,PO for Pre-Shipment Inspection - JFV981267- SYM5300THBFS 430C-10B Concrete Pump Truck-8,V-Trust Inspection Service Co. Ltd.,"MVL USA, INC",V40042,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,268.0,USD,268.0,268.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
275,RFPO-6705-V40136-1,25 Sep 2025,PO for 12000 BTU Mini Split AC Unit,LOWES,MACRO,V40136,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,2315.92,USD,2315.92,2315.92,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
276,RFPO-7139-T1002-1,25 Sep 2025,PO for Spares for Data logger- Custom Tools,Global Sensors LLC,"MVL USA, INC",T1002,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,873.75,USD,873.75,873.75,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
277,RFPO-6718-V40029-2,25 Sep 2025,PO for GFME Items - Equipment,Jet Fuel Specialists LLC,MACRO,V40029,"BIOT-121.48 N4008424F4064 EPROJECT 1718005 QC2011 REPLACE ADRF PUMPS 7, 8, AND 9, F-409",Building Materials,71847.0,USD,71847.0,71847.0,Change Order,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
278,RFPO-6718-V40030-2,25 Sep 2025,PO for GFME Items - Filter Materials,Jet Fuel Specialists LLC,MACRO,V40030,"BIOT-121.48 N4008424F4064 EPROJECT 1718005 QC2011 REPLACE ADRF PUMPS 7, 8, AND 9, F-409",Building Materials,14960.36,USD,14960.36,14960.36,Change Order,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
279,RFPO-6718-V40019-2,25 Sep 2025,PO for Spare Parts for Pump Startup & Alignment,Jet Fuel Specialists LLC,MACRO,V40019,"BIOT-121.48 N4008424F4064 EPROJECT 1718005 QC2011 REPLACE ADRF PUMPS 7, 8, AND 9, F-409",Building Materials,5105.1,USD,5105.1,5105.1,Change Order,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
280,RFPO-1569-O100-1,24 Sep 2025,PO for INTERNAL PO - Microsoft 365 G5 GCC – Annual Subscription Licenses (Pro-Rated) - Inv - 113948,Managed Solution LLC,MACRO,O100,OFFICE 1803 FURNITURES,Misc.,583.78,USD,583.78,583.78,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
281,RFPO-6705-S9104-1,24 Sep 2025,PO for Calibration-Batching Plant and Few Lab Items,Cal-Cert Company,MACRO,S9104,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,6361.0,USD,6361.0,6361.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
282,RFPO-5532-M4042-1,24 Sep 2025,PO forInner Tubes for Telehandler Tire - MR - Inner Tube for Telehandler - MW- Jess Co,Evangel International Machinery Ltd.,MVL USA JV LLC,M4042,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,250.0,USD,250.0,250.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
283,RFPO-6705-V40126-1,23 Sep 2025,PO for C900 & Sch80 Pipes and Fittings ,American International Supply Inc.,MACRO,V40126,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,18014.62,USD,18014.62,18014.62,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
284,RFPO-6718-V40033-2,22 Sep 2025,PO for Pump Control station,Jet Fuel Specialists LLC,MACRO,V40033,"BIOT-121.48 N4008424F4064 EPROJECT 1718005 QC2011 REPLACE ADRF PUMPS 7, 8, AND 9, F-409",Building Materials,38940.34,USD,38940.34,38940.34,Change Order,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
285,RFPO-7139-M4014-1,22 Sep 2025,PO for 3RD BATCH - SANY STC500C5-8 50-ton truck crane WITH 2 YEAR SPARE PARTS,Evangel International Machinery Ltd.,"MVL USA, INC",M4014,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,124000.0,USD,124000.0,124000.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
286,RFPO-1569-O99-1,22 Sep 2025,PO for Freshservice Licenses & Implementation (- Freshservice + Freddy AI Quotation - S00091),RivYv Technologies,MACRO,O99,OFFICE 1803 FURNITURES,Misc.,12848.0,USD,12848.0,12848.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
287,RFPO-6705-V40132-1,22 Sep 2025,"PO for Hinge, Lumber,Plywood",Tsang Brothers Corporation,MACRO,V40132,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,19809.0,USD,19809.0,19809.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
288,RFPO-6705-V40133-1,22 Sep 2025,PO for Disinfection materials,Dateline Exports Inc.,MACRO,V40133,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,198.51,USD,198.51,198.51,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
289,RFPO-7208-V40017-1,22 Sep 2025,PO for Misc.Metal Fabrication,Isam Kabbani Trading LLC,MVL USA JV LLC,V40017,"ORD-7208 BIOT-121.76 N4008424F4725 REPAIRS TO CHRIMP FACILITY 724 (QS60400) &amp; FACILITY 725 (QS6041), NSFDG",Building Materials,61560.2,AED,16762.84,16762.84,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
290,RFPO-6705-V40131-1,20 Sep 2025,PO for Pre-Shipment Inspection - JFV948479 - SAC200C8-8,V-Trust Inspection Service Co. Ltd.,MACRO,V40131,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,268.0,USD,268.0,268.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
291,RFPO-5829-M4001-1,18 Sep 2025,PO for AIR FIELD PAVEMENT - ZPL-300Y Truss Screed (6.5m type)  AS PER APPROVED QUOTATION -   HK2025091603-UAE,"Tengzhou Hiking Machinery Technology Co., Ltd.",MACRO,M4001,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,7800.0,USD,7800.0,7800.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
292,RFPO-1569-V4269-2,18 Sep 2025,PO for SUPPLY AND INSTALLATION 1806 LOUNGE AREA,BLUE CROWN FURNITURE (LLC),MACRO,V4269,OFFICE 1803 FURNITURES,Misc.,27258.52,AED,7422.49,7422.49,Change Order,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
293,RFPO-1569-V4269-3,18 Sep 2025,PO for SUPPLY AND INSTALLATION 1806 LOUNGE AREA,BLUE CROWN FURNITURE (LLC),MACRO,V4269,OFFICE 1803 FURNITURES,Misc.,24739.96,AED,6736.69,6736.69,Change Order,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
294,RFPO-5829-E6822-1,18 Sep 2025,PO for Type - Procurement Support - Supply of Dimmer Controller -  Ref.L_5717/25_DM_R3,GEMS SYSTEMS L.L.C.,MACRO,E6822,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,193335.8,AED,52645.34,52645.34,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
295,RFPO-5503-A5206-1,18 Sep 2025,PO for Supervision Services – Mr. Andre Ebert (Primary) / Mr. Sehrt (Backup),SALZER GmbH,MVL Greece,A5206,GRE-121 N6247022C0002 Communications Center - Souda Bay,Misc.,19850.0,EURO,19850.0,19850.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
296,RFPO-6705-V40130-1,18 Sep 2025,PO for Gypsum Drywall and Supports for Building 729,BMET Building Materials Trading LLC,MACRO,V40130,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,12800.48,AED,3485.57,3485.57,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
297,RFPO-5532-V40083-1,18 Sep 2025,PO for JFV957761 - Pre-Shipment Inspection Supplier: Evangel International Machinery Ltd.PO# RFPO-5532-M4038-1 - Item# CPCD50,V-Trust Inspection Service Co. Ltd.,MVL USA JV LLC,V40083,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,268.0,USD,268.0,268.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
298,RFPO-5532-V40084-1,18 Sep 2025,PO for Aggregates - Additional Qty,Leeds Services Co. Pte Ltd.,MVL USA JV LLC,V40084,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,266620.0,USD,266620.0,266620.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
299,RFPO-7139-M4012-1,17 Sep 2025,PO for ATCT - 9m3 Dust Suppression Truck - Ref - AM25E09170056602,"AIMIX GROUP CO., LTD","MVL USA, INC",M4012,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,24600.0,USD,24600.0,24600.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
300,RFPO-1569-14069-3,17 Sep 2025,PO for 3rd Amendment - FITOUT -  MVL OFFICE 1806 and 1807,Keen Eye Technical Services LLC,MACRO,14069,OFFICE 1803 FURNITURES,Misc.,107715.0,AED,29330.79,29330.79,Change Order,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
301,RFPO-5683-A5205-1,17 Sep 2025,PO for Fusible links,TECHTRADE SAL(OFFSHORE),MVL USA JV LLC,A5205,"ORD-5683 BIOT-121.10 N4008422F4478 / N4008421R0079 X010 CONSTRUCT STORAGE ROOM &amp; RENOVATE BREAKROOMS, F-937 &amp; F-938",Building Materials,241.64,USD,241.64,241.64,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
302,RFPO-7139-M4013-1,17 Sep 2025,PO for 3rd  Bartch - DONGFENG 375HP 6x4 tractor truck and 3 axles 40Ton 40ft container flatbed semi-trailer with 2 years Spare Parts,Evangel International Machinery Ltd.,"MVL USA, INC",M4013,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,66300.0,USD,66300.0,66300.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
303,RFPO-7039-V40024-1,16 Sep 2025,PO for Splicing iron and butyl sealant,"White Cap Supply Holdings, LLC",MACRO,V40024,"BIOT-121.60 N4008424F4507 EProject 1693634 REPAIR SPP F1SA AND F2S OVERHEAD FEEDERS, RM20-1216",Building Materials,6448.615,USD,6448.61,6448.61,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
304,RFPO-7139-M4010-1,16 Sep 2025,PO for 3RD BATCH OF HEAVY EQUIPMENTS FOR KWAJALEIN,Evangel International Machinery Ltd.,"MVL USA, INC",M4010,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,92200.0,USD,92200.0,92200.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
305,RFPO-6705-V40128-1,16 Sep 2025,PO for Lighting Fixtures and Toggle Switch,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MACRO,V40128,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,294.6,USD,294.6,294.6,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
306,RFPO-6852-V40034-1,12 Sep 2025,PO for Film for Liner,Arabian Environmental Construction Company (AEC),MVL USA JV LLC,V40034,BIOT-121.35 N4008424F4221 QC8067-Repair To Fuel Piping System. F#408 NSF DG,Building Materials,6156.0,USD,6156.0,6156.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
307,RFPO-6705-E6833-1,12 Sep 2025,"PO for Heat Shrink Termination with Terminal Lugs , Nuts, Bolts, Washer",TIC LIGHT ELECTRICAL CORP,MACRO,E6833,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,1613.42,USD,1613.42,1613.42,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
308,RFPO-6705-V40127-1,12 Sep 2025,PO for Mandrel & Plugs,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MACRO,V40127,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,2548.76,USD,2548.76,2548.76,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
309,RFPO-7139-M4011-1,11 Sep 2025,"PO for 9M3 Concrete Mixer Truck - 6x4 HOWO chassis (371HP), 9M3 drum, revolution counter, 1 spare tyre, optional parts - as per approved Quotation M25E09110056601","AIMIX GROUP CO., LTD","MVL USA, INC",M4011,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,101736.0,USD,101736.0,101736.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
310,RFPO-5532-M4041-1,11 Sep 2025,PO for 9M3 Concrete Mixer Truck - as per approved Quotation AM25E09100056602,"AIMIX GROUP CO., LTD",MVL USA JV LLC,M4041,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,101736.0,USD,101736.0,101736.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
311,RFPO-7864-V40001-1,11 Sep 2025,PO for Wall Base & Adhesive,"MANNINGTON MILLS, INC.",MVL USA JV LLC,V40001,BIOT-121.93 REPAIR OF WINDOWS AND FLOORING AT F-1565 AND F-115 (X060),Building Materials,820.0,USD,820.0,820.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
312,RFPO-6705-E6832-1,10 Sep 2025,PO for Batch Plant -Electrical Items,TIC LIGHT ELECTRICAL CORP,MACRO,E6832,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,117777.85,USD,117777.85,117777.85,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
313,RFPO-6705-V40125-1,10 Sep 2025,PO for Frame & cover for Cleanout (Storm & Sewer),EJ USA Inc.,MACRO,V40125,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,4393.0,USD,4393.0,4393.0,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
314,RFPO-6705-M4105-1,10 Sep 2025,PO for 315 KVA Genset - JP300 Silent Type,Jubaili Bros,MACRO,M4105,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,190000.83,AED,51737.23,51737.23,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
315,RFPO-7139-E6819-1,09 Sep 2025,PO for ATCT-Electrical Items for Site Temporary Power,TIC LIGHT ELECTRICAL CORP,"MVL USA, INC",E6819,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,20605.02,USD,20605.02,20605.02,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
316,RFPO-7139-V40010A-2,09 Sep 2025,PO for TRIPOD AND ACCESSORIES,MONJE,"MVL USA, INC",V40010A,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,11065.37,USD,11065.37,11065.37,Change Order,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
317,RFPO-7027-M4102A-1,09 Sep 2025,PO for Spares for PACU Testing,S.K.M. Air Conditioning L.L.C.,MVL USA JV LLC,M4102A,"BIOT-121.63 N4008424F4424 QC3010 REPLACE HVAC SYSTEM, F-161 (NGIS 19)",Machine / Equipments,1250.0,AED,340.38,340.38,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
318,RFPO-6852-V40033-1,08 Sep 2025,"PO for Bolts, Nuts and Washers",Fastener Point LLC,MVL USA JV LLC,V40033,BIOT-121.35 N4008424F4221 QC8067-Repair To Fuel Piping System. F#408 NSF DG,Building Materials,9688.0,AED,2638.04,2638.04,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
319,RFPO-7039-V40023-1,08 Sep 2025,PO for Sika Waterbar,Petrocoat Construction Chemicals Trading LLC,MACRO,V40023,"BIOT-121.60 N4008424F4507 EProject 1693634 REPAIR SPP F1SA AND F2S OVERHEAD FEEDERS, RM20-1216",Building Materials,65513.0,AED,17839.19,17839.19,Base PO,2025,9,2025-09,GSA (Global Spend Analysis) + M&D (as PO)
